Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
Parkinsons,0.0,374,94,0,Max Box Mesh,3.166424036026001,0.003449678421020508,-0.967380469742,2.97063228647,-0.337366708433,-0.115579158795
Parkinsons,0.0,374,94,0,Iterative Box Mesh,3.1356308460235596,0.0034019947052001953,-237.622849842,173.147377117,-0.2962988185,-1.90665189739
Parkinsons,0.0,374,94,0,Voronoi Mesh,6.060826778411865,0.00875997543334961,0.220920425012,5.79170207192,2.14091084848,2.37518088684
Parkinsons,0.0,374,94,1,Max Box Mesh,3.1401069164276123,0.003307819366455078,-0.881023108697,13.0578941468,-0.376013544528,-0.0970543116061
Parkinsons,0.0,374,94,1,Iterative Box Mesh,3.0952811241149902,0.003370046615600586,-16.7076077518,51.5233870178,-0.11621188983,0.374203760124
Parkinsons,0.0,374,94,1,Voronoi Mesh,6.254791259765625,0.009225130081176758,0.268747467163,8.67365229428,2.37471041617,2.56160606361
Parkinsons,0.0,374,94,2,Max Box Mesh,3.132239818572998,0.0033071041107177734,-0.90543026822,61.2819467904,-0.316853551552,0.516082423802
Parkinsons,0.0,374,94,2,Iterative Box Mesh,3.1337730884552,0.003366231918334961,-4956.16570758,1522.40050774,13.9234357708,-31.6467594184
Parkinsons,0.0,374,94,2,Voronoi Mesh,6.159121990203857,0.008952856063842773,0.177103294801,7.53729757818,2.33201321776,2.53299123313
Parkinsons,0.0,374,94,3,Max Box Mesh,3.1506433486938477,0.0032851696014404297,-0.95027883924,3.55308336676,-0.349069684998,-0.17248002868
Parkinsons,0.0,374,94,3,Iterative Box Mesh,3.124195098876953,0.003258943557739258,-191.680147357,256.467482239,-0.414600228001,2.61994841321
Parkinsons,0.0,374,94,3,Voronoi Mesh,6.182951927185059,0.010008811950683594,0.170494331499,7.37798789511,2.36564635368,2.67167721883
Parkinsons,0.0,374,94,4,Max Box Mesh,3.125717878341675,0.0032858848571777344,-0.930331518927,1.96348648888,-0.365174918024,-0.221251946817
Parkinsons,0.0,374,94,4,Iterative Box Mesh,3.1102588176727295,0.003309011459350586,-5839.86522671,6228.10844211,-99.0514787064,-134.40120929
Parkinsons,0.0,374,94,4,Voronoi Mesh,6.497795104980469,0.009409666061401367,0.220920425012,9.2287331611,2.39100869593,2.59029035518
Parkinsons,0.0,374,94,5,Max Box Mesh,3.344864845275879,0.0032820701599121094,-0.995662516042,2.11704405209,-0.415962859893,-0.24146991715
Parkinsons,0.0,374,94,5,Iterative Box Mesh,3.11203670501709,0.0032460689544677734,-560.297152054,317.869239999,-0.00403818211961,-15.6766538406
Parkinsons,0.0,374,94,5,Voronoi Mesh,6.816100120544434,0.009869098663330078,0.246731258546,10.2398242162,2.53016554249,2.8212274307
Parkinsons,0.0,374,94,6,Max Box Mesh,3.1685240268707275,0.0033011436462402344,-0.919781288098,3.81993101859,-0.362196600364,-0.203288427726
Parkinsons,0.0,374,94,6,Iterative Box Mesh,3.147603988647461,0.0032749176025390625,-3416.08295396,3581.05257504,-1.4794492261,-77.3605774354
Parkinsons,0.0,374,94,6,Voronoi Mesh,6.632584095001221,0.009680986404418945,0.174577728537,6.91988065547,2.41592703153,2.73478300317
Parkinsons,0.0,374,94,7,Max Box Mesh,3.1904070377349854,0.003242015838623047,-0.986341196061,13.3490562934,-0.340590847185,0.0155625994488
Parkinsons,0.0,374,94,7,Iterative Box Mesh,3.164292097091675,0.003348112106323242,-1121.02619041,472.467786488,-1.17702050965,-13.7129861655
Parkinsons,0.0,374,94,7,Voronoi Mesh,6.004284858703613,0.008289098739624023,-0.11610414129,7.86427654415,2.3214840322,2.53997968947
Parkinsons,0.0,374,94,8,Max Box Mesh,3.1669812202453613,0.003358125686645508,-0.980855729974,14.0887732929,-0.262688317706,-0.0095769405883
Parkinsons,0.0,374,94,8,Iterative Box Mesh,3.146653890609741,0.0032989978790283203,-1435.95867422,9683.20307273,-1.54180321029,86.2577414156
Parkinsons,0.0,374,94,8,Voronoi Mesh,6.246583700180054,0.00905299186706543,-0.119361068996,5.80816244387,2.42671772591,2.55803196776
Parkinsons,0.0,374,94,9,Max Box Mesh,3.124587059020996,0.0032510757446289062,-0.922090333626,3.74797798563,-0.381502170136,-0.0953299083818
Parkinsons,0.0,374,94,9,Iterative Box Mesh,3.0881989002227783,0.0033330917358398438,-7441.99173925,2069.44170308,-26.2486499691,-76.5522278892
Parkinsons,0.0,374,94,9,Voronoi Mesh,6.003194332122803,0.008428096771240234,0.182905590446,7.23816713655,2.4937121745,2.6972548225
Parkinsons,0.2,374,94,0,Max Box Mesh,2.8996121883392334,0.0032279491424560547,-0.902339498517,4.84321818474,-0.249610558403,-0.135004088412
Parkinsons,0.2,374,94,0,Iterative Box Mesh,3.1169590950012207,0.0033931732177734375,-9.64427418099,38.5567735173,0.103159549509,1.07847674857
Parkinsons,0.2,374,94,0,Voronoi Mesh,6.169265985488892,0.009250164031982422,0.243479673129,8.66269259011,2.49424365231,2.81913463943
Parkinsons,0.2,374,94,1,Max Box Mesh,2.9077069759368896,0.003122091293334961,-0.910622762175,4.23737323021,-0.412932939792,-0.122423420499
Parkinsons,0.2,374,94,1,Iterative Box Mesh,3.108628034591675,0.0032219886779785156,-5849.1077307,2333.64525402,-2.31384628887,-70.0527372145
Parkinsons,0.2,374,94,1,Voronoi Mesh,5.885516881942749,0.009501934051513672,0.249703558248,8.13065350476,2.63778289493,2.65359871932
Parkinsons,0.2,374,94,2,Max Box Mesh,2.884042978286743,0.0030870437622070312,-0.978830471746,6.20832031215,-0.278144384319,0.107712781781
Parkinsons,0.2,374,94,2,Iterative Box Mesh,3.1235668659210205,0.003323793411254883,-141.434583265,282.252744928,0.54468451763,2.30121092221
Parkinsons,0.2,374,94,2,Voronoi Mesh,5.942687034606934,0.008598089218139648,-0.156092453664,7.87144667198,2.38059891894,2.70864020597
Parkinsons,0.2,374,94,3,Max Box Mesh,2.9322569370269775,0.003122091293334961,-0.940707466597,11.4780478918,-0.406184806177,-0.0696912614194
Parkinsons,0.2,374,94,3,Iterative Box Mesh,3.1222078800201416,0.003322124481201172,-4243.08843373,7283.00084068,-0.46009217006,68.6720919225
Parkinsons,0.2,374,94,3,Voronoi Mesh,6.280822992324829,0.009274959564208984,0.204283342093,8.30577150896,2.63412196376,2.75255244678
Parkinsons,0.2,374,94,4,Max Box Mesh,2.8430521488189697,0.0031402111053466797,-0.957710144905,7.10104790684,-0.340085019594,-0.0628082944346
Parkinsons,0.2,374,94,4,Iterative Box Mesh,3.0943379402160645,0.0033867359161376953,-1388.40363901,6504.05775114,1.01991120688,111.768165118
