File_Size,Record_Size,Threads,Frequency,Mean_Throughput
64,32,1,1200000,2.9362429e+05
64,32,1,1400000,3.2032009e+05
64,32,1,1500000,2.6425245e+05
64,32,1,1600000,3.8507311e+05
64,32,1,1800000,3.6037571e+05
64,32,1,1900000,4.2045583e+05
64,32,1,2000000,3.5086378e+05
64,32,1,2100000,4.0015405e+05
64,32,1,2300000,4.0578373e+05
64,32,1,2400000,4.2075025e+05
64,32,1,2500000,3.2749867e+05
64,32,1,2700000,3.9644547e+05
64,32,1,2800000,4.1874897e+05
64,32,1,2900000,3.6231171e+05
64,32,1,3000000,3.3062077e+05
64,32,1,3001000,4.4030072e+05
64,32,2,1200000,5.8840486e+05
64,32,2,1400000,7.4654356e+05
64,32,2,1500000,7.6106762e+05
64,32,2,1600000,7.4280805e+05
64,32,2,1800000,8.6820558e+05
64,32,2,1900000,1.0016465e+06
64,32,2,2000000,9.6831572e+05
64,32,2,2100000,9.8073970e+05
64,32,2,2300000,8.8456612e+05
64,32,2,2400000,1.0453812e+06
64,32,2,2500000,1.1048779e+06
64,32,2,2700000,9.2892155e+05
64,32,2,2800000,8.5860054e+05
64,32,2,2900000,9.0665529e+05
64,32,2,3000000,1.1416769e+06
64,32,2,3001000,9.8753597e+05
64,32,4,1200000,1.3599298e+06
64,32,4,1400000,1.6226026e+06
64,32,4,1500000,1.5452590e+06
64,32,4,1600000,1.6528477e+06
64,32,4,1800000,1.8068331e+06
64,32,4,1900000,1.7372693e+06
64,32,4,2000000,1.8766056e+06
64,32,4,2100000,1.9003684e+06
64,32,4,2300000,1.9352886e+06
64,32,4,2400000,1.7813418e+06
64,32,4,2500000,1.7266993e+06
64,32,4,2700000,1.7091917e+06
64,32,4,2800000,2.5790427e+06
64,32,4,2900000,2.1025404e+06
64,32,4,3000000,2.2521864e+06
64,32,4,3001000,1.9768861e+06
64,32,8,1200000,2.8062912e+06
64,32,8,1400000,2.9490827e+06
64,32,8,1500000,3.9371570e+06
64,32,8,1600000,3.3899145e+06
64,32,8,1800000,3.7009505e+06
64,32,8,1900000,3.0462870e+06
64,32,8,2000000,4.3328471e+06
64,32,8,2100000,4.2699748e+06
64,32,8,2300000,4.2498945e+06
64,32,8,2400000,3.3742128e+06
64,32,8,2500000,4.0175076e+06
64,32,8,2700000,4.4401109e+06
64,32,8,2800000,3.4479087e+06
64,32,8,2900000,4.5043421e+06
64,32,8,3000000,5.4361449e+06
64,32,8,3001000,4.7672805e+06
64,32,16,1200000,6.1990312e+06
64,32,16,1400000,6.7827198e+06
64,32,16,1500000,7.7984164e+06
64,32,16,1600000,7.4805586e+06
64,32,16,1800000,7.8407011e+06
64,32,16,1900000,8.2730787e+06
64,32,16,2000000,7.8465846e+06
64,32,16,2100000,7.3607336e+06
64,32,16,2300000,1.0211380e+07
64,32,16,2400000,8.8037151e+06
64,32,16,2500000,8.2735022e+06
64,32,16,2700000,1.0744556e+07
64,32,16,2800000,9.6213333e+06
64,32,16,2900000,9.2733687e+06
64,32,16,3000000,6.4309122e+06
64,32,16,3001000,7.9318645e+06
64,32,32,1200000,9.5889198e+06
64,32,32,1400000,1.2893189e+07
64,32,32,1500000,1.5018640e+07
64,32,32,1600000,1.4874936e+07
64,32,32,1800000,1.6317440e+07
64,32,32,1900000,1.5724809e+07
64,32,32,2000000,1.7782972e+07
64,32,32,2100000,1.9572008e+07
64,32,32,2300000,1.8539200e+07
64,32,32,2400000,1.8825416e+07
64,32,32,2500000,1.4878863e+07
