
python3 run.py 

Data Header Information:
 22 ('total_UPDRS', 'Jitter(%)', 'Jitter(Abs)', 'Jitter:RAP', 'Jitter:PPQ5', 'Jitter:DDP', 'Shimmer', 'Shimmer(dB)', 'Shimmer:APQ3', 'Shimmer:APQ5', 'Shimmer:APQ11', 'Shimmer:DDA', 'NHR', 'HNR', 'RPDE', 'DFA', 'PPE')
 13 ('X', 'Y', 'month', 'day', 'FFMC', 'DMC', 'DC', 'ISI', 'temp', 'RH', 'wind', 'rain', 'area')
 5 ('File_Size', 'Record_Size', 'Threads', 'Frequency', 'Mean_Throughput')

Processed Data Sizes:
 (5875, 16) (5875,)
 (517, 12) (517,)
 (864, 4) (864,)

Data,Tolerance,Train_Size,Test_Size,Fold_Num,Model_Name,Fit_Time,Eval_Time,Min_Error,Max_Error,Median_Error,Average_Error
HPC I/O,0.0,691,173,0,Max Box Mesh,12.310585021972656,0.004542112350463867,-0.950077520298,82.2003777464,0.635686076765,6.522785655
HPC I/O,0.0,691,173,0,Iterative Box Mesh,12.150103092193604,0.0045549869537353516,2187092926.14,3.6449903689e+12,71659049607.3,329571595736.0
HPC I/O,0.0,691,173,0,Voronoi Mesh,64.89282488822937,0.011713027954101562,-0.994612374936,7.97896985837,-0.823477051681,-0.188142320061
HPC I/O,0.0,691,173,1,Max Box Mesh,12.313843965530396,0.004614830017089844,1.77696669436,4402.44000732,85.0564576105,362.501382911
HPC I/O,0.0,691,173,1,Iterative Box Mesh,12.135876178741455,0.004515171051025391,-327.123031993,-1.20566484308,-7.37342460256,-27.9212644959
HPC I/O,0.0,691,173,1,Voronoi Mesh,63.86995983123779,0.016705989837646484,-0.971237718078,44.608391045,-0.108674907771,2.76494585816
HPC I/O,0.0,691,173,2,Max Box Mesh,12.556725025177002,0.0045778751373291016,-0.939988917121,152.68064503,0.877228377263,11.3995312564
HPC I/O,0.0,691,173,2,Iterative Box Mesh,12.303613901138306,0.0046117305755615234,1.48233749621e+14,3.79607518545e+17,4.63695350769e+15,3.06281593915e+16
HPC I/O,0.0,691,173,2,Voronoi Mesh,64.87919998168945,0.01314687728881836,-0.969514981247,77.0682020886,-0.046387108185,5.29883556085
HPC I/O,0.0,691,173,3,Max Box Mesh,12.321227073669434,0.004619121551513672,29.7413140834,52745.2810313,1574.34140527,4706.05894808
HPC I/O,0.0,691,173,3,Iterative Box Mesh,12.132747888565063,0.0045850276947021484,28.4331184,50500.6646506,1507.30279981,4505.75019809
HPC I/O,0.0,691,173,3,Voronoi Mesh,64.09829807281494,0.017686843872070312,-0.567053632105,741.854086542,21.1863755647,65.2920286854
HPC I/O,0.0,691,173,4,Max Box Mesh,13.100482940673828,0.004725933074951172,-0.983951592584,10.6755408639,-0.600786451798,0.563659053217
HPC I/O,0.0,691,173,4,Iterative Box Mesh,12.832147121429443,0.004561185836791992,-8.71077391998e+16,-1.19732396474e+14,-2.97841359533e+15,-1.16659953139e+16
HPC I/O,0.0,691,173,4,Voronoi Mesh,63.738585233688354,0.0164492130279541,-0.994422740872,3.05756877711,-0.861262407672,-0.456585846742
HPC I/O,0.0,691,173,5,Max Box Mesh,12.392153024673462,0.00460505485534668,7.69766318622,11886.0664744,210.590808139,981.744667191
HPC I/O,0.0,691,173,5,Iterative Box Mesh,12.115957975387573,0.004456996917724609,-0.98838630995,14.8723903971,-0.717470082426,0.312225102119
HPC I/O,0.0,691,173,5,Voronoi Mesh,62.44155502319336,0.015600204467773438,-0.981937357194,23.6861520317,-0.560584365415,1.04088908855
HPC I/O,0.0,691,173,6,Max Box Mesh,12.451822996139526,0.004556894302368164,-0.925472277056,134.418868045,1.75853169345,10.7761333283
HPC I/O,0.0,691,173,6,Iterative Box Mesh,12.208546161651611,0.0045261383056640625,-17808416.3904,-9801.85469212,-362764.911511,-1548635.07906
HPC I/O,0.0,691,173,6,Voronoi Mesh,64.1328809261322,0.018192052841186523,-0.92531962471,134.696241445,1.76418189068,10.8002539415
HPC I/O,0.0,691,173,7,Max Box Mesh,12.219494819641113,0.00453495979309082,-0.994310354978,10.1839782433,-0.745995643129,-0.167285542638
HPC I/O,0.0,691,173,7,Iterative Box Mesh,12.108423233032227,0.004510164260864258,-0.997750105966,3.42255462818,-0.899557373985,-0.670714204085
HPC I/O,0.0,691,173,7,Voronoi Mesh,64.70271611213684,0.019778966903686523,-0.996584008145,5.71472094201,-0.847498954546,-0.500048633509
HPC I/O,0.0,691,173,8,Max Box Mesh,12.186707019805908,0.004543781280517578,33.6013533042,52298.2423228,1082.6701298,4538.13676138
HPC I/O,0.0,691,173,8,Iterative Box Mesh,12.02509593963623,0.004536867141723633,449078.497223,678774532.498,14064594.4731,58911950.7005
HPC I/O,0.0,691,173,8,Voronoi Mesh,63.6806640625,0.01593184471130371,-0.925510853327,111.588831368,1.33290480098,8.77176878068
