Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,Tech,16,,,,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,D Felony,Public Order,OWI,Parole,7JD,Yes,Tech,19,,,,Yes
2010,2013,White - Non-Hispanic,M,25-34,D Felony,Property,Burglary,Parole,5JD,Yes,Tech,22,,,,Yes
2010,2013,White - Non-Hispanic,M,55 and Older,C Felony,Drug,Trafficking,Parole,8JD,Yes,Tech,25,,,,Yes
2010,2013,Black - Non-Hispanic,M,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Tech,26,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Tech,27,,,,No
2010,2013,White - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Parole,3JD,Yes,New,28,D Felony,Property,Theft,Yes
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Property,Burglary,Parole,1JD,Yes,Tech,41,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,Aggravated Misdemeanor,Violent,Other Violent,Parole,5JD,Yes,Tech,44,,,,Yes
2010,2013,White - Non-Hispanic,M,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,Tech,46,,,,Yes
2010,2013,White - Non-Hispanic,M,35-44,Aggravated Misdemeanor,Property,Theft,Parole,4JD,Yes,Tech,48,,,,Yes
2010,2013,White - Non-Hispanic,M,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,New,49,C Felony,Property,Theft,No
2010,2013,White - Non-Hispanic,M,45-54,D Felony,Public Order,OWI,Parole,3JD,Yes,Tech,49,,,,Yes
2010,2013,White - Non-Hispanic,F,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Tech,51,,,,No
2010,2013,Black - Non-Hispanic,M,45-54,D Felony,Violent,Sex,Special Sentence,8JD,Yes,Tech,51,,,,Yes
