Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism Likelihood,Number American Indian or Alaska Native - Non-Hispanic,Number Asian or Pacific Islander - Non-Hispanic,Number Black - Non-Hispanic,Number White - Hispanic,Number White - Non-Hispanic
2010,M,Under 25,D Felony,Assault,Parole,4JD,1.0,0,0,0,0,2
2010,M,55 and Older,D Felony,OWI,Parole,7JD,0.5,0,0,0,0,2
2010,M,25-34,D Felony,Burglary,Parole,5JD,0.7142857142857143,0,0,1,0,6
2010,M,55 and Older,C Felony,Trafficking,Parole,8JD,0.5,0,0,0,0,2
2010,M,25-34,D Felony,Trafficking,Parole,3JD,0.5,0,0,2,1,7
2010,M,Under 25,D Felony,Burglary,Discharged – End of Sentence,N/A,0.3125,1,0,7,1,39
2010,M,45-54,Aggravated Misdemeanor,Sex Offender Registry/Residency,Parole,3JD,1.0,0,0,0,0,1
2010,M,45-54,D Felony,Burglary,Parole,1JD,0.5,0,0,1,0,5
2010,M,45-54,Aggravated Misdemeanor,Other Violent,Parole,5JD,1.0,0,0,0,0,1
2010,M,45-54,C Felony,Robbery,Parole,8JD,0.3333333333333333,0,0,0,0,3
2010,M,35-44,Aggravated Misdemeanor,Theft,Parole,4JD,1.0,0,0,0,0,1
2010,M,Under 25,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.4117647058823529,1,1,4,2,9
2010,M,45-54,D Felony,OWI,Parole,3JD,0.3333333333333333,0,0,0,0,3
2010,F,25-34,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.18181818181818182,0,0,3,1,7
2010,M,45-54,D Felony,Sex,Special Sentence,8JD,0.6666666666666666,0,0,1,0,2
2010,M,Under 25,D Felony,Trafficking,Parole,4JD,1.0,0,0,0,0,3
2010,M,25-34,C Felony,Trafficking,Parole,3JD,0.5,1,0,0,0,5
2010,F,25-34,D Felony,Theft,Parole,5JD,0.5,0,0,1,0,1
2010,M,Under 25,Aggravated Misdemeanor,Sex,Special Sentence,4JD,1.0,0,0,0,0,1
2010,M,25-34,Felony - Enhanced,Trafficking,Parole,7JD,0.3333333333333333,0,0,3,2,1
2010,M,35-44,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,3,0,12
2010,M,25-34,D Felony,Assault,Discharged – End of Sentence,N/A,0.2777777777777778,2,1,10,2,21
2010,M,45-54,D Felony,Sex Offender Registry/Residency,Parole,7JD,1.0,0,0,1,0,0
2010,M,Under 25,D Felony,Vandalism,Parole,2JD,0.5,0,0,0,0,2
2010,M,35-44,C Felony,Trafficking,Parole,5JD,0.64,0,0,4,1,20
2010,M,25-34,D Felony,Other Drug,Parole,3JD,0.5,0,0,1,0,1
2010,M,35-44,D Felony,Drug Possession,Parole,8JD,0.75,0,0,1,0,3
2010,F,35-44,C Felony,Trafficking,Parole,5JD,0.08333333333333333,0,0,2,0,10
2010,F,45-54,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2010,M,25-34,C Felony,Trafficking,Parole,2JD,0.6,0,0,2,2,11
2010,M,35-44,D Felony,Sex,Special Sentence,5JD,0.6666666666666666,0,0,0,0,3
2010,F,25-34,D Felony,Forgery/Fraud,Parole,7JD,0.5,0,0,1,0,1
2010,M,25-34,D Felony,Forgery/Fraud,Parole,6JD,1.0,0,0,0,0,2
2010,M,25-34,D Felony,Theft,Parole,5JD,0.6666666666666666,0,1,0,1,7
2010,M,35-44,D Felony,Forgery/Fraud,Parole,3JD,1.0,0,0,0,0,3
2010,M,Under 25,D Felony,Sex,Special Sentence,5JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Drug Possession,Parole,5JD,0.5,0,0,0,0,2
2010,M,Under 25,D Felony,Sex,Special Sentence,7JD,1.0,0,0,1,0,1
2010,M,Under 25,D Felony,Trafficking,Parole,5JD,0.5714285714285714,0,0,2,1,4
2010,M,25-34,D Felony,Sex,Special Sentence,7JD,1.0,0,0,0,0,1
2010,M,25-34,C Felony,Other Violent,Parole,5JD,0.5,0,0,0,0,2
2010,M,25-34,C Felony,Burglary,Parole,5JD,0.8,0,1,1,0,3
2010,F,25-34,D Felony,Assault,Parole,5JD,1.0,0,0,0,0,1
2010,M,45-54,D Felony,Assault,Parole,6JD,0.5,0,0,1,0,1
2010,M,45-54,D Felony,Sex,Special Sentence,3JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,OWI,Parole,6JD,0.4,0,0,1,1,3
2010,M,Under 25,D Felony,Theft,Parole,3JD,1.0,1,0,0,0,2
2010,M,Under 25,Aggravated Misdemeanor,Sex,Special Sentence,3JD,1.0,0,0,0,0,1
2010,M,45-54,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,0.36363636363636365,1,0,0,0,10
2010,M,25-34,D Felony,Sex,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,0,2,1
2010,M,45-54,Aggravated Misdemeanor,Trafficking,Parole,5JD,1.0,0,0,0,0,1
2010,M,25-34,Aggravated Misdemeanor,Assault,Special Sentence,1JD,1.0,0,0,1,0,0
2010,M,25-34,C Felony,Assault,Parole,5JD,0.6666666666666666,0,0,0,0,3
2010,M,35-44,Aggravated Misdemeanor,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,0.25,0,0,0,0,4
2010,M,Under 25,Aggravated Misdemeanor,Theft,Special Sentence,6JD,1.0,1,0,0,0,0
2010,M,25-34,C Felony,Trafficking,Parole,4JD,0.5,0,0,1,0,5
2010,M,25-34,C Felony,Trafficking,Parole,5JD,0.6410256410256411,0,0,18,0,21
2010,F,35-44,C Felony,Trafficking,Parole,3JD,1.0,0,0,0,0,2
2010,M,35-44,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,0.6,0,0,5,1,4
2010,F,35-44,C Felony,Arson,Parole,5JD,1.0,0,0,0,0,1
2010,M,45-54,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.4,2,0,12,0,16
2010,M,25-34,D Felony,Assault,Parole,3JD,0.42857142857142855,1,0,0,0,6
2010,M,35-44,Aggravated Misdemeanor,Assault,Parole,5JD,1.0,0,0,0,0,3
2010,M,45-54,D Felony,Burglary,Parole,4JD,0.5,0,0,0,0,2
2010,M,35-44,C Felony,Burglary,Parole,7JD,1.0,1,0,0,0,1
2010,M,35-44,D Felony,Drug Possession,Discharged – End of Sentence,N/A,0.35294117647058826,1,0,4,0,12
2014,M,35-44,C Felony,Sex,N/A,N/A,0.15789473684210525,0,0,1,2,16
2010,M,Under 25,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.46153846153846156,0,0,10,2,14
2010,M,25-34,C Felony,Theft,Parole,7JD,0.75,0,0,1,0,3
2010,F,Under 25,D Felony,Forgery/Fraud,Parole,5JD,1.0,0,0,0,0,1
2010,M,55 and Older,Aggravated Misdemeanor,Traffic,Parole,2JD,1.0,0,0,0,0,1
2010,M,25-34,D Felony,Sex,Special Sentence,4JD,1.0,0,0,0,0,2
2010,M,35-44,C Felony,Trafficking,Parole,4JD,0.2857142857142857,0,0,0,1,6
2010,M,25-34,C Felony,Sex,Special Sentence,1JD,1.0,0,0,0,0,1
2010,M,Under 25,D Felony,Burglary,Parole,3JD,0.75,0,0,0,0,4
2010,M,Under 25,D Felony,Vandalism,Parole,3JD,0.6666666666666666,0,0,0,1,2
2010,M,35-44,D Felony,Assault,Discharged – End of Sentence,N/A,0.23809523809523808,1,0,7,1,12
2010,M,25-34,C Felony,Sex,Special Sentence,7JD,1.0,0,0,0,1,0
2010,F,25-34,C Felony,Trafficking,Parole,2JD,0.8,0,0,0,1,4
2010,M,45-54,C Felony,Theft,Parole,5JD,0.25,0,0,0,0,4
2010,M,55 and Older,D Felony,OWI,Discharged – End of Sentence,N/A,0.23076923076923078,0,0,1,2,10
2010,M,25-34,B Felony,Trafficking,Parole,5JD,0.6190476190476191,0,0,9,2,10
2010,M,25-34,D Felony,Forgery/Fraud,Parole,2JD,0.5,0,0,0,0,2
2010,M,35-44,C Felony,Theft,Parole,5JD,0.3333333333333333,0,0,1,0,5
2010,M,55 and Older,Felony - Enhanced,Trafficking,Parole,8JD,1.0,0,0,0,0,1
2010,M,35-44,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.3076923076923077,0,0,6,1,32
2010,M,35-44,Aggravated Misdemeanor,Sex,Special Sentence,5JD,0.5,0,0,0,0,2
2010,M,45-54,D Felony,Burglary,Parole,5JD,0.3333333333333333,0,0,1,0,2
2010,M,Under 25,Aggravated Misdemeanor,Burglary,Parole,8JD,1.0,0,0,0,0,1
2010,M,25-34,D Felony,Drug Possession,Parole,3JD,1.0,0,0,1,0,0
2010,M,45-54,Felony - Enhanced,Trafficking,Parole,6JD,1.0,0,0,1,0,0
2010,M,45-54,Felony - Enhanced,Theft,Parole,5JD,0.25,0,0,1,0,3
2010,M,55 and Older,D Felony,OWI,Parole,4JD,1.0,0,0,0,0,1
2010,M,Under 25,Aggravated Misdemeanor,Burglary,Parole,5JD,0.16666666666666666,0,0,0,0,6
2010,M,Under 25,C Felony,Sex,Special Sentence,8JD,1.0,0,0,0,0,1
2010,M,25-34,D Felony,Burglary,Parole,1JD,0.6,0,0,0,1,9
2010,M,25-34,Aggravated Misdemeanor,Theft,Parole,5JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Trafficking,Parole,2JD,1.0,0,0,0,0,2
2010,M,25-34,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.2345679012345679,1,0,29,11,40
2014,M,45-54,C Felony,Theft,N/A,N/A,0.16666666666666666,0,0,3,0,3
2010,M,25-34,D Felony,Drug Possession,Parole,5JD,0.8,0,0,2,0,3
2010,M,35-44,D Felony,Sex Offender Registry/Residency,Parole,7JD,0.5,0,0,1,0,1
2010,M,Under 25,Aggravated Misdemeanor,Theft,Parole,7JD,1.0,0,0,0,0,1
2010,F,25-34,C Felony,Trafficking,Parole,5JD,0.25,0,0,0,0,8
2010,M,Under 25,D Felony,Trafficking,Parole,3JD,0.3333333333333333,0,0,0,0,3
2010,M,25-34,Serious Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Burglary,Parole,5JD,0.6666666666666666,0,1,2,0,3
2010,M,25-34,Felony - Enhanced,Theft,Parole,8JD,0.5,0,0,0,0,2
2010,M,25-34,D Felony,Burglary,Parole,4JD,0.2,0,0,0,0,5
2010,M,25-34,Aggravated Misdemeanor,Traffic,Parole,6JD,1.0,0,0,0,0,1
2010,M,25-34,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.43478260869565216,1,0,4,0,18
2010,M,Under 25,Aggravated Misdemeanor,Sex,Special Sentence,6JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Drug Possession,Parole,6JD,0.5,0,0,1,0,3
2010,M,Under 25,D Felony,Sex,Special Sentence,3JD,1.0,0,0,0,0,1
2010,F,25-34,C Felony,Trafficking,Parole,7JD,0.5,0,0,2,0,2
2010,M,Under 25,Aggravated Misdemeanor,Burglary,Discharged – End of Sentence,N/A,0.25,0,0,0,2,14
2010,F,25-34,Aggravated Misdemeanor,Forgery/Fraud,Parole,5JD,0.5,0,0,0,0,2
2010,F,25-34,C Felony,Trafficking,Parole,3JD,0.5,0,0,0,1,1
2010,F,Under 25,D Felony,Other Drug,Parole,6JD,1.0,0,0,0,0,1
2010,M,25-34,C Felony,Burglary,Parole,7JD,0.5,0,0,1,0,1
2010,M,35-44,D Felony,Assault,Parole,6JD,0.3333333333333333,0,0,0,0,3
2010,M,35-44,Felony - Enhanced,Trafficking,Parole,5JD,1.0,1,0,1,0,2
2010,F,Under 25,D Felony,Other Violent,Discharged – End of Sentence,N/A,1.0,0,0,1,0,0
2010,M,55 and Older,D Felony,OWI,Parole,5JD,1.0,0,0,0,0,2
2010,M,35-44,D Felony,Weapons,Discharged – End of Sentence,N/A,0.5,0,0,0,0,2
2010,M,25-34,D Felony,Drug Possession,Parole,1JD,0.6,0,0,2,0,3
2010,M,Under 25,Aggravated Misdemeanor,Vandalism,Discharged – End of Sentence,N/A,0.4,0,0,0,0,5
2010,M,25-34,Aggravated Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.15217391304347827,3,1,16,2,24
2010,M,Under 25,C Felony,Burglary,Parole,6JD,1.0,0,0,0,0,1
2010,M,35-44,Aggravated Misdemeanor,Traffic,Discharged – End of Sentence,N/A,0.5,0,0,3,0,3
2010,M,25-34,D Felony,Assault,Parole,1JD,0.5,0,0,3,0,3
2010,M,Under 25,D Felony,Traffic,Parole,3JD,1.0,0,0,0,0,1
2010,M,25-34,C Felony,Trafficking,Parole,7JD,0.42105263157894735,0,0,11,3,5
2010,M,25-34,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,0.375,0,0,7,1,8
2010,M,Under 25,D Felony,Forgery/Fraud,Parole,8JD,1.0,0,0,0,0,1
2010,F,35-44,D Felony,Forgery/Fraud,Parole,5JD,0.3333333333333333,0,0,1,0,5
2010,M,25-34,C Felony,Trafficking,Parole,1JD,0.5454545454545454,0,0,9,0,13
2010,M,35-44,D Felony,Forgery/Fraud,Parole,7JD,0.5,0,0,3,0,1
2010,M,Under 25,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.4,0,0,2,0,3
2010,M,25-34,D Felony,OWI,Parole,3JD,0.5,0,0,1,0,3
2010,M,35-44,C Felony,Burglary,Parole,5JD,0.6666666666666666,0,0,1,0,2
2010,M,Under 25,C Felony,Trafficking,Parole,5JD,0.6111111111111112,0,0,7,1,10
2010,M,25-34,D Felony,OWI,Parole,2JD,0.25,0,0,0,1,3
2010,M,Under 25,D Felony,Burglary,Parole,5JD,0.5384615384615384,1,0,1,2,9
2010,M,45-54,Felony - Enhanced,Trafficking,Parole,5JD,0.09090909090909091,0,0,2,0,9
2010,M,Under 25,D Felony,Burglary,Parole,2JD,0.4,0,0,2,0,8
2010,M,Under 25,D Felony,Other Drug,Parole,3JD,0.5,0,0,1,0,1
2010,M,45-54,B Felony,Trafficking,Parole,5JD,0.3333333333333333,0,0,0,0,12
2010,M,Under 25,Aggravated Misdemeanor,Other Public Order,Discharged – End of Sentence,N/A,1.0,0,0,0,0,1
2010,M,45-54,Felony - Enhanced,Other Drug,Parole,2JD,1.0,0,0,1,0,0
2010,M,Under 25,D Felony,Assault,Parole,1JD,1.0,0,0,0,0,1
2010,M,Under 25,D Felony,Trafficking,Parole,8JD,0.3333333333333333,0,0,1,1,7
2010,M,25-34,Serious Misdemeanor,Assault,Discharged – End of Sentence,N/A,0.5,0,0,3,1,0
2010,M,25-34,C Felony,Other Violent,Parole,3JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Traffic,Parole,2JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Theft,Parole,7JD,0.3333333333333333,0,0,0,0,6
2010,M,Under 25,D Felony,Assault,Discharged – End of Sentence,N/A,0.1,0,1,8,2,9
2010,M,Under 25,C Felony,Trafficking,Parole,3JD,1.0,0,0,0,1,0
2010,M,Under 25,D Felony,Burglary,Parole,8JD,0.5,0,0,1,0,7
2010,M,45-54,Felony - Enhanced,Trafficking,Parole,1JD,0.2,0,0,0,0,5
2010,M,Under 25,D Felony,Trafficking,Parole,7JD,0.4,0,0,2,2,1
2010,M,25-34,C Felony,Theft,Parole,6JD,1.0,0,0,2,0,0
2010,M,Under 25,D Felony,Weapons,Parole,7JD,0.5,0,0,1,0,1
2010,M,45-54,D Felony,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,0.4,0,0,3,0,2
2010,M,25-34,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,0.17647058823529413,0,0,2,1,14
2010,M,35-44,D Felony,Forgery/Fraud,Parole,5JD,1.0,0,0,0,0,2
2010,M,35-44,C Felony,Trafficking,Parole,8JD,0.17647058823529413,0,0,3,1,13
2010,M,Under 25,D Felony,OWI,Parole,5JD,1.0,0,0,0,0,1
2010,M,35-44,Felony - Enhanced,Assault,Parole,2JD,1.0,0,0,0,0,1
2010,F,55 and Older,D Felony,OWI,Parole,3JD,1.0,0,0,0,1,0
2010,M,Under 25,D Felony,Theft,Parole,5JD,1.0,0,0,0,0,1
2010,M,45-54,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.6666666666666666,0,0,0,0,6
2010,F,35-44,B Felony,Trafficking,Parole,5JD,0.2857142857142857,1,0,0,0,6
2010,M,25-34,C Felony,Theft,Discharged – End of Sentence,N/A,0.28,0,0,5,2,18
2010,M,Under 25,D Felony,Theft,Parole,4JD,1.0,0,0,0,0,2
2010,M,45-54,B Felony,Trafficking,Parole,8JD,0.25,0,0,0,0,4
2010,M,25-34,D Felony,Other Violent,Parole,8JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Burglary,Parole,7JD,0.8,0,0,2,0,3
2010,M,Under 25,D Felony,Other Drug,Parole,8JD,1.0,0,0,0,0,1
2010,M,35-44,D Felony,Theft,Parole,3JD,0.4,0,0,1,0,4
2010,M,25-34,Aggravated Misdemeanor,Traffic,Parole,5JD,0.75,0,0,1,0,3
2010,M,25-34,D Felony,Theft,Parole,7JD,0.14285714285714285,0,0,3,1,3
2010,F,25-34,C Felony,Theft,Parole,6JD,0.6666666666666666,0,0,0,0,3
2010,M,Under 25,C Felony,Burglary,Parole,3JD,0.5,0,0,0,0,2
2010,M,25-34,B Felony,Trafficking,Parole,1JD,0.2222222222222222,0,0,1,0,8
2010,M,45-54,D Felony,Drug Possession,Parole,5JD,0.2,0,0,1,0,4
2010,F,35-44,B Felony,Other Criminal,Parole,2JD,1.0,0,0,0,0,1
2010,M,25-34,D Felony,Trafficking,Discharged – End of Sentence,N/A,0.2608695652173913,1,0,3,4,15
2010,M,25-34,B Felony,Trafficking,Parole,2JD,1.0,0,0,0,1,3
2010,M,35-44,Felony - Enhanced,Burglary,Parole,7JD,1.0,0,0,0,1,0
2010,M,55 and Older,B Felony,Trafficking,Parole,2JD,1.0,0,0,0,0,1
2010,F,45-54,D Felony,Drug Possession,Discharged – End of Sentence,N/A,0.5,0,0,1,0,1
2010,M,25-34,Aggravated Misdemeanor,Drug Possession,Discharged – End of Sentence,N/A,0.36363636363636365,0,0,4,0,7
2010,M,55 and Older,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,0.3333333333333333,0,0,3,0,3
2010,M,35-44,C Felony,Trafficking,Discharged – End of Sentence,N/A,0.21212121212121213,0,0,10,4,19
2010,M,25-34,D Felony,Traffic,Parole,3JD,0.5,0,0,0,0,2
2010,M,35-44,C Felony,Theft,Parole,7JD,0.5,0,0,1,1,2
2010,M,25-34,D Felony,Trafficking,Parole,7JD,0.2857142857142857,0,0,1,1,5
2010,M,25-34,D Felony,Assault,Parole,5JD,0.4,0,0,1,0,4
2010,M,35-44,C Felony,Trafficking,Parole,6JD,0.4,1,1,2,0,1
2010,M,35-44,D Felony,OWI,Parole,5JD,0.5,0,0,2,1,3
2010,M,Under 25,D Felony,OWI,Parole,1JD,1.0,0,0,0,0,1
2010,M,35-44,Felony - Enhanced,Burglary,Parole,2JD,0.6666666666666666,0,0,0,0,3
2010,M,25-34,Aggravated Misdemeanor,Assault,Parole,1JD,1.0,0,0,2,0,0
2010,M,Under 25,D Felony,Burglary,Special Sentence,2JD,1.0,0,0,1,0,0
2010,M,45-54,Felony - Enhanced,Burglary,Discharged – End of Sentence,N/A,0.6666666666666666,0,0,0,0,3
2010,M,Under 25,C Felony,Trafficking,Parole,2JD,0.6666666666666666,0,0,0,0,3
2010,M,25-34,D Felony,Drug Possession,Parole,8JD,0.5,0,0,0,0,2
2010,M,25-34,D Felony,Assault,Parole,7JD,0.2857142857142857,0,0,2,0,5
