Race - Ethnicity,Fiscal Year Released,Sex,Age At Release,Convicting Offense Classification,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison
White - Non-Hispanic,2010,M,21.5,D Felony,Assault,Parole,4JD,Yes
White - Non-Hispanic,2010,M,66.87,D Felony,OWI,Parole,7JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,M,66.87,C Felony,Trafficking,Parole,8JD,Yes
Black - Non-Hispanic,2010,M,29.5,D Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Burglary,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Sex Offender Registry/Residency,Parole,3JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Burglary,Parole,1JD,Yes
White - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Other Violent,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,C Felony,Robbery,Parole,8JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Theft,Parole,4JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,OWI,Parole,3JD,Yes
White - Non-Hispanic,2010,F,29.5,C Felony,Trafficking,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,49.5,D Felony,Sex,Special Sentence,8JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,4JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,3JD,Yes
White - Non-Hispanic,2010,F,29.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Sex,Special Sentence,4JD,Yes
White - Non-Hispanic,2010,M,29.5,Felony - Enhanced,Trafficking,Parole,7JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Discharged – End of Sentence,N/A,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,29.5,D Felony,Assault,Discharged – End of Sentence,N/A,Yes
Black - Non-Hispanic,2010,M,49.5,D Felony,Sex Offender Registry/Residency,Parole,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Vandalism,Parole,2JD,Yes
White - Non-Hispanic,2010,M,39.5,C Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Other Drug,Parole,3JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Drug Possession,Parole,8JD,Yes
White - Non-Hispanic,2010,F,39.5,C Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,F,49.5,Aggravated Misdemeanor,Theft,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,2JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Sex,Special Sentence,5JD,Yes
White - Non-Hispanic,2010,F,29.5,D Felony,Forgery/Fraud,Parole,7JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Forgery/Fraud,Parole,6JD,Yes
White - Hispanic,2010,M,29.5,D Felony,Theft,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Forgery/Fraud,Parole,3JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Sex,Special Sentence,5JD,Yes
White - Non-Hispanic,2010,M,39.5,D Felony,Drug Possession,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,21.5,D Felony,Sex,Special Sentence,7JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Sex,Special Sentence,7JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Other Violent,Parole,5JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Burglary,Parole,5JD,Yes
White - Non-Hispanic,2010,F,29.5,D Felony,Assault,Parole,5JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Assault,Parole,6JD,Yes
White - Non-Hispanic,2010,M,49.5,D Felony,Sex,Special Sentence,3JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,39.5,D Felony,OWI,Parole,6JD,Yes
White - Non-Hispanic,2010,M,21.5,D Felony,Theft,Parole,3JD,Yes
White - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Sex,Special Sentence,3JD,Yes
White - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Alcohol,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,29.5,D Felony,Sex,Discharged – End of Sentence,N/A,Yes
White - Non-Hispanic,2010,M,49.5,Aggravated Misdemeanor,Trafficking,Parole,5JD,Yes
Black - Non-Hispanic,2010,M,29.5,Aggravated Misdemeanor,Assault,Special Sentence,1JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Assault,Parole,5JD,Yes
White - Non-Hispanic,2010,M,39.5,Aggravated Misdemeanor,Sex Offender Registry/Residency,Discharged – End of Sentence,N/A,Yes
American Indian or Alaska Native - Non-Hispanic,2010,M,21.5,Aggravated Misdemeanor,Theft,Special Sentence,6JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,4JD,Yes
White - Non-Hispanic,2010,M,29.5,C Felony,Trafficking,Parole,5JD,Yes
