N,Quadratic facet,Binary search,Fit spline
10,0.000001,0.000002,0.000068
20,0.000001,0.000003,0.000156
30,0.000001,0.000005,0.000284
40,0.000002,0.000009,0.000444
50,0.000003,0.000016,0.000625
60,0.000003,0.000014,0.000864
70,0.000004,0.000016,0.001107
80,0.000004,0.000018,0.001382
90,0.000005,0.000021,0.001762
100,0.000005,0.000022,0.002179
200,0.000011,0.000041,0.007814
300,0.000017,0.000053,0.017927
400,0.000025,0.000079,0.036198
500,0.000030,0.000100,0.053071
600,0.000032,0.000115,0.086610
700,0.000037,0.000132,0.117202
800,0.000042,0.000140,0.153302
900,0.000046,0.000159,0.189628
1000,0.000052,0.000180,0.235562
